entry_time,exit_time,dir,entry,exit,pnl,ret,fill_kind
2026-02-12 20:00:00+00:00,2026-02-12 23:45:00+00:00,-1,4939.724491916589,4921.538,18.186491916589148,0.0036816814270410614,market
2026-02-13 04:00:00+00:00,2026-02-13 07:45:00+00:00,1,4981.557447887041,4946.182,-35.375447887041446,-0.007101282732781926,market
2026-02-13 08:00:00+00:00,2026-02-13 09:30:00+00:00,-1,4945.593026843229,4980.676,-35.082973156771004,-0.007093784904328138,market
2026-02-13 20:00:00+00:00,2026-02-13 23:45:00+00:00,1,5021.306171771182,5041.768,20.461828228818376,0.004075001111035779,market
2026-02-16 08:00:00+00:00,2026-02-16 11:45:00+00:00,-1,4990.284868018517,5013.386,-23.101131981483377,-0.004629221095078706,market
2026-02-17 04:00:00+00:00,2026-02-17 07:45:00+00:00,-1,4957.016809097805,4888.669,68.34780909780511,0.013788093066854995,market
2026-02-17 08:00:00+00:00,2026-02-17 11:45:00+00:00,-1,4887.680903388636,4925.876,-38.195096611364534,-0.007814564282394913,market
2026-02-17 16:00:00+00:00,2026-02-17 19:45:00+00:00,-1,4869.935427165121,4865.035,4.900427165121073,0.0010062612201767328,market
2026-02-18 20:00:00+00:00,2026-02-18 23:45:00+00:00,1,4999.565450700239,4977.021,-22.544450700239395,-0.004509282041118557,market
2026-02-20 20:00:00+00:00,2026-02-20 23:45:00+00:00,1,5074.153303091783,5105.101,30.94769690821704,0.006099085908452942,market
2026-02-23 01:00:00+00:00,2026-02-23 03:45:00+00:00,1,5107.915984181454,5157.1939999999995,49.2780158185451,0.009647381822871138,market
2026-02-23 04:00:00+00:00,2026-02-23 07:45:00+00:00,1,5157.913320007762,5158.033,0.1196799922381615,2.320318020349776e-05,market
2026-02-23 20:00:00+00:00,2026-02-23 23:45:00+00:00,1,5208.550869952758,5227.563999999999,19.013130047241248,0.003650368504016108,market
2026-02-24 20:00:00+00:00,2026-02-24 23:45:00+00:00,1,5164.370039100873,5143.74,-20.630039100873546,-0.0039946864660506155,market
2026-02-25 04:00:00+00:00,2026-02-25 07:45:00+00:00,1,5177.179555880561,5201.611,24.43144411943922,0.004719064474340759,market
2026-02-26 04:00:00+00:00,2026-02-26 07:45:00+00:00,1,5191.67907299262,5198.091,6.411927007380655,0.0012350391688761787,market
2026-02-27 16:00:00+00:00,2026-02-27 19:45:00+00:00,1,5223.389120869279,5234.513000000001,11.123879130721434,0.0021296286516885405,market
2026-03-02 01:00:00+00:00,2026-03-02 03:45:00+00:00,1,5301.26705694725,5324.808,23.540943052749753,0.004440625759817102,market
2026-03-02 04:00:00+00:00,2026-03-02 07:45:00+00:00,1,5325.424872609266,5365.999,40.57412739073425,0.00761894653690878,market
2026-03-02 08:00:00+00:00,2026-03-02 11:45:00+00:00,1,5367.079994027548,5391.848999999999,24.76900597245094,0.004614987292906707,market
2026-03-02 12:00:00+00:00,2026-03-02 15:45:00+00:00,1,5393.032583114347,5393.731,0.6984168856524775,0.00012950355387045677,market
2026-03-03 16:00:00+00:00,2026-03-03 19:45:00+00:00,-1,5156.146626663902,5079.092,77.05462666390213,0.014944227199713585,market
2026-03-03 20:00:00+00:00,2026-03-03 23:45:00+00:00,-1,5078.265453057732,5088.273,-10.007546942268164,-0.0019706624308586324,market
2026-03-05 16:00:00+00:00,2026-03-05 19:45:00+00:00,-1,5116.7631951724725,5062.831,53.93219517247235,0.010540295322510902,market
2026-03-05 20:00:00+00:00,2026-03-05 23:45:00+00:00,-1,5062.236783788511,5080.873,-18.636216211488318,-0.0036814193028602703,market
2026-03-06 12:00:00+00:00,2026-03-06 15:30:00+00:00,-1,5085.037133299939,5117.301,-32.263866700061044,-0.006344863538709968,market
2026-03-09 04:00:00+00:00,2026-03-09 07:45:00+00:00,-1,5069.084281351041,5124.161999999999,-55.07771864895858,-0.01086541781354619,market
2026-03-10 04:00:00+00:00,2026-03-10 07:45:00+00:00,1,5184.520556735706,5177.841,-6.6795567357057735,-0.0012883653681395328,market
2026-03-12 12:00:00+00:00,2026-03-12 15:45:00+00:00,1,5189.273210650065,5154.362,-34.911210650065186,-0.006727572288623405,market
2026-03-12 16:00:00+00:00,2026-03-12 19:45:00+00:00,-1,5149.354832961319,5105.175,44.179832961318425,0.008579683163125748,market
2026-03-12 20:00:00+00:00,2026-03-12 22:45:00+00:00,-1,5104.382896815094,5078.9800000000005,25.4028968150933,0.004976683240386134,market
2026-03-13 00:00:00+00:00,2026-03-13 02:00:00+00:00,-1,5079.460027763988,5105.128,-25.667972236011337,-0.005053287573031764,market
2026-03-13 20:00:00+00:00,2026-03-13 22:45:00+00:00,-1,5045.482755104566,5020.381,25.10175510456611,0.004975094817075811,market
2026-03-16 00:00:00+00:00,2026-03-16 03:45:00+00:00,-1,5003.363545178725,5015.873,-12.50945482127463,-0.0025002090510350436,market
2026-03-16 12:00:00+00:00,2026-03-16 13:15:00+00:00,-1,4974.167602214332,5017.301,-43.13339778566842,-0.008671480584302565,market
2026-03-16 20:00:00+00:00,2026-03-16 22:45:00+00:00,-1,4990.5391525201785,5006.205,-15.665847479821423,-0.0031391092226799398,market
