parent_id,knob,spec,id,wf_folds,wf_median_sharpe,wf_pct_positive_folds,ho_trades,ho_total_return,ho_sharpe_ann,ho_profit_factor,ho_max_drawdown,stress_total_return,shuffle_p_value,random_p_value,passes_critic,certified,cert_failures
strong_body_continuation_M15_filters[0].min=0.7,session_NY,"{""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.7, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 16]}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""id"": ""strong_body_continuation_M15_filters[0].min=0.7+session_NY""}",strong_body_continuation_M15_filters[0].min=0.7+session_NY,28,0.0,0.3214,9,0.0261,12.974,2.422,-0.0114,0.0249,1.0,0.185,True,False,"['wf_median_sharpe<=0.5 (got 0.0)', 'wf_pct_positive_folds<0.6 (got 0.3214)', 'biggest_trade_share>0.2 (got 0.2498)', 'shuffle_test failed (p=1.0)', 'random_baseline failed (p=0.185)']"
strong_body_continuation_M15_filters[0].min=0.7,session_London,"{""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.7, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [8, 12]}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""id"": ""strong_body_continuation_M15_filters[0].min=0.7+session_London""}",strong_body_continuation_M15_filters[0].min=0.7+session_London,28,0.0,0.3214,7,0.0141,7.924,1.497,-0.0151,0.013,0.94,0.315,False,False,"['wf_median_sharpe<=0.5 (got 0.0)', 'wf_pct_positive_folds<0.6 (got 0.3214)', 'biggest_trade_share>0.2 (got 0.2699)', 'shuffle_test failed (p=0.94)', 'random_baseline failed (p=0.315)', 'yearly_consistency failed (1 of 9)']"
strong_body_continuation_M15_filters[0].min=0.7,pdh_pdl_inside,"{""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.7, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""pdh_pdl"", ""mode"": ""inside""}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""id"": ""strong_body_continuation_M15_filters[0].min=0.7+pdh_pdl_inside""}",strong_body_continuation_M15_filters[0].min=0.7+pdh_pdl_inside,28,-18.259,0.0,22,-0.0491,-14.207,0.418,-0.0526,-0.0523,0.4133,0.935,False,False,"['wf_median_sharpe<=0.5 (got -18.259)', 'wf_pct_positive_folds<0.6 (got 0.0)', 'holdout_total_return<=0 (got -0.0491)', 'profit_factor<=1.2 (got 0.418)', 'shuffle_test failed (p=0.4133)', 'random_baseline failed (p=0.935)', 'stress_total_return<=0 (got -0.0523)', 'yearly_consistency failed (0 of 9)']"
strong_body_continuation_M15_filters[0].min=0.7,htf_vwap_dist_2.5,"{""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.7, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""htf_vwap_dist"", ""max_above"": 2.5, ""max_below"": 2.5}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""id"": ""strong_body_continuation_M15_filters[0].min=0.7+htf_vwap_dist_2.5""}",strong_body_continuation_M15_filters[0].min=0.7+htf_vwap_dist_2.5,28,-2.886,0.3214,32,0.0429,6.668,1.523,-0.0207,0.0376,0.98,0.135,True,False,"['wf_median_sharpe<=0.5 (got -2.886)', 'wf_pct_positive_folds<0.6 (got 0.3214)', 'shuffle_test failed (p=0.98)', 'random_baseline failed (p=0.135)', 'yearly_consistency failed (1 of 9)']"
strong_body_continuation_M15_filters[0].min=0.7,regime_trend,"{""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.7, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""regime_class"", ""allow"": [""trend""]}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""id"": ""strong_body_continuation_M15_filters[0].min=0.7+regime_trend""}",strong_body_continuation_M15_filters[0].min=0.7+regime_trend,28,0.0,0.0357,1,-0.0061,0.0,0.0,0.0,-0.0063,1.0,1.0,False,False,"['wf_median_sharpe<=0.5 (got 0.0)', 'wf_pct_positive_folds<0.6 (got 0.0357)', 'holdout_total_return<=0 (got -0.0061)', 'profit_factor<=1.2 (got 0.0)', 'biggest_trade_share>0.2 (got 1.0)', 'shuffle_test failed (p=1.0)', 'random_baseline failed (p=1.0)', 'stress_total_return<=0 (got -0.0063)', 'yearly_consistency failed (0 of 9)']"
strong_body_continuation_M15_filters[0].min=0.7,regime_trend_expansion,"{""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.7, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""regime_class"", ""allow"": [""trend"", ""expansion""]}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""id"": ""strong_body_continuation_M15_filters[0].min=0.7+regime_trend_expansion""}",strong_body_continuation_M15_filters[0].min=0.7+regime_trend_expansion,28,-0.797,0.3929,7,0.0233,12.665,2.159,-0.0128,0.0222,0.94,0.205,True,False,"['wf_median_sharpe<=0.5 (got -0.797)', 'wf_pct_positive_folds<0.6 (got 0.3929)', 'biggest_trade_share>0.2 (got 0.2655)', 'shuffle_test failed (p=0.94)', 'random_baseline failed (p=0.205)', 'yearly_consistency failed (2 of 9)']"
strong_body_continuation_M15_filters[0].min=0.7,atr_pct_30_80,"{""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.7, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""atr_percentile"", ""window"": 100, ""lo"": 0.3, ""hi"": 0.8}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""id"": ""strong_body_continuation_M15_filters[0].min=0.7+atr_pct_30_80""}",strong_body_continuation_M15_filters[0].min=0.7+atr_pct_30_80,28,2.438,0.5714,9,-0.0116,-7.238,0.653,-0.027,-0.0128,0.72,0.62,False,False,"['wf_pct_positive_folds<0.6 (got 0.5714)', 'holdout_total_return<=0 (got -0.0116)', 'profit_factor<=1.2 (got 0.653)', 'biggest_trade_share>0.2 (got 0.2553)', 'shuffle_test failed (p=0.72)', 'random_baseline failed (p=0.62)', 'stress_total_return<=0 (got -0.0128)']"
strong_body_continuation_M15_filters[0].min=0.7,stop_h4_atr_x1,"{""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.7, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""id"": ""strong_body_continuation_M15_filters[0].min=0.7+stop_h4_atr_x1""}",strong_body_continuation_M15_filters[0].min=0.7+stop_h4_atr_x1,28,0.212,0.5357,34,0.0477,6.854,1.541,-0.0249,0.0073,0.2133,0.17,True,False,"['wf_median_sharpe<=0.5 (got 0.212)', 'wf_pct_positive_folds<0.6 (got 0.5357)', 'shuffle_test failed (p=0.2133)', 'random_baseline failed (p=0.17)']"
strong_body_continuation_M15_filters[0].min=0.7,stop_prev_h4_open,"{""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.7, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""id"": ""strong_body_continuation_M15_filters[0].min=0.7+stop_prev_h4_open""}",strong_body_continuation_M15_filters[0].min=0.7+stop_prev_h4_open,28,2.174,0.6071,34,0.0541,8.024,1.654,-0.0207,0.0484,0.3233,0.135,True,False,"['shuffle_test failed (p=0.3233)', 'random_baseline failed (p=0.135)']"
strong_body_continuation_M15_filters[0].min=0.7,stop_prev_h4_extreme,"{""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.7, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""id"": ""strong_body_continuation_M15_filters[0].min=0.7+stop_prev_h4_extreme""}",strong_body_continuation_M15_filters[0].min=0.7+stop_prev_h4_extreme,28,2.174,0.6071,34,0.045,6.361,1.503,-0.0245,0.0394,0.1867,0.19,True,False,"['shuffle_test failed (p=0.1867)', 'random_baseline failed (p=0.19)']"
