id,bias_tf,entry_tf,entry_model,stop,trades_per_week,win_rate,profit_factor,sharpe_ann,max_drawdown,mae_mean,mfe_mean,entry_efficiency_mean,near_miss_tp_rate,prop_25k_survival,certified
selectivity_tight_touch_entry_prev_h4_open,H4,M15,touch_entry,prev_h4_open,5.93,0.5769,1.453,5.924,-0.0375,30.3622,40.6972,0.4864,0.0,1.0,False
selectivity_tight_touch_entry_prev_h4_extreme,H4,M15,touch_entry,prev_h4_extreme,5.93,0.5769,1.372,4.951,-0.0437,31.2044,40.6972,0.4873,0.0,1.0,False
selectivity_tight_touch_entry_h4_atrx1.0,H4,M15,touch_entry,h4_atrx1.0,5.93,0.5769,1.336,4.162,-0.0438,31.0269,40.6972,0.4876,0.0,1.0,False
selectivity_tight_reaction_close_prev_h4_open,H4,M15,reaction_close,prev_h4_open,5.93,0.4808,1.26,3.372,-0.0388,31.2005,35.585,0.5453,0.0,1.0,False
selectivity_tight_reaction_close_prev_h4_extreme,H4,M15,reaction_close,prev_h4_extreme,5.93,0.4808,1.19,2.502,-0.0424,32.0426,35.585,0.5469,0.0,1.0,False
selectivity_tight_reaction_close_h4_atrx1.0,H4,M15,reaction_close,h4_atrx1.0,5.93,0.4615,1.013,0.004,-0.0566,32.2151,34.7396,0.5564,0.0,1.0,False
selectivity_tight_fib_limit_entry_lvl0.382_prev_h4_open,H4,M15,fib_limit_entry_lvl0.382,prev_h4_open,3.54,0.4516,1.115,0.884,-0.0351,31.8534,35.9203,0.4641,0.0,1.0,False
selectivity_tight_fib_limit_entry_lvl0.382_prev_h4_extreme,H4,M15,fib_limit_entry_lvl0.382,prev_h4_extreme,3.54,0.4516,1.043,0.025,-0.0387,33.037,35.9203,0.4716,0.0,1.0,False
selectivity_tight_fib_limit_entry_lvl0.382_h4_atrx1.0,H4,M15,fib_limit_entry_lvl0.382,h4_atrx1.0,3.54,0.4839,1.235,2.266,-0.0306,33.037,35.9203,0.4716,0.0,1.0,False
selectivity_tight_fib_limit_entry_lvl0.5_prev_h4_open,H4,M15,fib_limit_entry_lvl0.5,prev_h4_open,2.62,0.3913,0.9,-2.299,-0.0387,29.157,26.64,0.4589,0.0,1.0,False
selectivity_tight_fib_limit_entry_lvl0.5_prev_h4_extreme,H4,M15,fib_limit_entry_lvl0.5,prev_h4_extreme,2.62,0.4348,0.808,-3.665,-0.047,31.0609,26.7704,0.4724,0.0,1.0,False
selectivity_tight_fib_limit_entry_lvl0.5_h4_atrx1.0,H4,M15,fib_limit_entry_lvl0.5,h4_atrx1.0,2.62,0.4783,0.924,-2.004,-0.0435,31.4509,27.1752,0.4703,0.0,1.0,False
selectivity_tight_fib_limit_entry_lvl0.618_prev_h4_open,H4,M15,fib_limit_entry_lvl0.618,prev_h4_open,1.94,0.4706,0.594,-7.188,-0.0262,27.4381,19.9375,0.451,0.0,1.0,False
selectivity_tight_fib_limit_entry_lvl0.618_prev_h4_extreme,H4,M15,fib_limit_entry_lvl0.618,prev_h4_extreme,1.94,0.5294,0.497,-9.942,-0.0359,30.014,20.7763,0.4711,0.0,1.0,False
selectivity_tight_fib_limit_entry_lvl0.618_h4_atrx1.0,H4,M15,fib_limit_entry_lvl0.618,h4_atrx1.0,1.94,0.5882,0.587,-7.077,-0.0391,30.5417,21.3239,0.4699,0.0,1.0,False
selectivity_tight_zone_midpoint_limit_prev_h4_open,H4,M15,zone_midpoint_limit,prev_h4_open,2.74,0.5,2.129,8.692,-0.0131,20.5456,31.0498,0.4055,0.0,1.0,False
selectivity_tight_zone_midpoint_limit_prev_h4_extreme,H4,M15,zone_midpoint_limit,prev_h4_extreme,2.74,0.5,1.749,6.709,-0.0195,22.3702,31.0498,0.4185,0.0,1.0,False
selectivity_tight_zone_midpoint_limit_h4_atrx1.0,H4,M15,zone_midpoint_limit,h4_atrx1.0,2.74,0.5417,1.459,4.034,-0.0264,22.744,31.4377,0.4171,0.0,1.0,False
selectivity_tight_minor_structure_break_prev_h4_open,H4,M15,minor_structure_break,prev_h4_open,4.68,0.5122,0.936,-0.998,-0.0301,28.2839,25.357,0.5771,0.0,1.0,False
selectivity_tight_minor_structure_break_prev_h4_extreme,H4,M15,minor_structure_break,prev_h4_extreme,4.68,0.5122,0.925,-1.146,-0.0301,28.2844,25.4395,0.5726,0.0,1.0,False
selectivity_tight_minor_structure_break_h4_atrx1.0,H4,M15,minor_structure_break,h4_atrx1.0,4.68,0.4878,0.718,-4.475,-0.0568,28.8749,25.4395,0.5762,0.0,1.0,False
selectivity_tight_delayed_entry_1_prev_h4_open,H4,M15,delayed_entry_1,prev_h4_open,5.93,0.5769,1.671,7.633,-0.0251,26.2055,40.345,0.4748,0.0,1.0,False
selectivity_tight_delayed_entry_1_prev_h4_extreme,H4,M15,delayed_entry_1,prev_h4_extreme,5.93,0.5769,1.565,6.665,-0.0297,27.0476,40.345,0.4768,0.0,1.0,False
