id,ho_total_return,ho_max_drawdown,stress_total_return,stress_max_drawdown,ho_profit_factor,stress_profit_factor,passes_stress
selectivity_tight_touch_entry_prev_h4_open,0.0603,-0.0375,0.0524,-0.0396,1.453,1.386,True
selectivity_tight_touch_entry_prev_h4_extreme,0.0518,-0.0437,0.0439,-0.0458,1.372,1.311,True
selectivity_tight_touch_entry_h4_atrx1.0,0.0458,-0.0438,0.0037,-0.0503,1.336,1.064,True
selectivity_tight_reaction_close_prev_h4_open,0.0328,-0.0388,0.0251,-0.0396,1.26,1.197,True
selectivity_tight_reaction_close_prev_h4_extreme,0.0245,-0.0424,0.0169,-0.0432,1.19,1.132,True
selectivity_tight_reaction_close_h4_atrx1.0,-0.0019,-0.0566,-0.0093,-0.0573,1.013,0.967,False
selectivity_tight_fib_limit_entry_lvl0.382_prev_h4_open,0.0053,-0.0351,-0.0226,-0.0507,1.115,0.826,False
selectivity_tight_fib_limit_entry_lvl0.382_prev_h4_extreme,-0.0013,-0.0387,-0.029,-0.0589,1.043,0.773,False
selectivity_tight_fib_limit_entry_lvl0.382_h4_atrx1.0,0.0153,-0.0306,-0.0129,-0.0458,1.235,0.923,False
selectivity_tight_fib_limit_entry_lvl0.5_prev_h4_open,-0.0105,-0.0387,-0.0106,-0.0387,0.9,0.898,False
selectivity_tight_fib_limit_entry_lvl0.5_prev_h4_extreme,-0.017,-0.047,-0.0171,-0.0471,0.808,0.806,False
selectivity_tight_fib_limit_entry_lvl0.5_h4_atrx1.0,-0.0099,-0.0435,-0.01,-0.0435,0.924,0.922,False
selectivity_tight_fib_limit_entry_lvl0.618_prev_h4_open,-0.0166,-0.0262,-0.0167,-0.0262,0.594,0.592,False
selectivity_tight_fib_limit_entry_lvl0.618_prev_h4_extreme,-0.0245,-0.0359,-0.0246,-0.036,0.497,0.495,False
selectivity_tight_fib_limit_entry_lvl0.618_h4_atrx1.0,-0.0225,-0.0391,-0.0226,-0.0392,0.587,0.585,False
selectivity_tight_zone_midpoint_limit_prev_h4_open,0.0421,-0.0131,0.042,-0.0132,2.129,2.124,True
selectivity_tight_zone_midpoint_limit_prev_h4_extreme,0.0338,-0.0195,0.0336,-0.0195,1.749,1.745,True
selectivity_tight_zone_midpoint_limit_h4_atrx1.0,0.0232,-0.0264,0.0231,-0.0264,1.459,1.457,True
selectivity_tight_minor_structure_break_prev_h4_open,-0.0092,-0.0301,-0.0154,-0.0303,0.936,0.879,False
selectivity_tight_minor_structure_break_prev_h4_extreme,-0.0105,-0.0301,-0.0167,-0.0303,0.925,0.868,False
selectivity_tight_minor_structure_break_h4_atrx1.0,-0.0394,-0.0568,-0.0534,-0.0615,0.718,0.631,False
selectivity_tight_delayed_entry_1_prev_h4_open,0.0802,-0.0251,0.0721,-0.0257,1.671,1.589,True
selectivity_tight_delayed_entry_1_prev_h4_extreme,0.0715,-0.0297,0.0635,-0.0317,1.565,1.491,True
selectivity_tight_delayed_entry_1_h4_atrx1.0,0.0583,-0.0412,0.0511,-0.0417,1.442,1.383,True
selectivity_tight_delayed_entry_2_prev_h4_open,0.0452,-0.0287,0.0375,-0.0308,1.365,1.297,True
selectivity_tight_delayed_entry_2_prev_h4_extreme,0.0368,-0.0349,0.0291,-0.037,1.286,1.224,True
selectivity_tight_delayed_entry_2_h4_atrx1.0,0.0193,-0.0472,0.0122,-0.048,1.161,1.111,True
selectivity_tight_sweep_reclaim_prev_h4_open,-0.0033,0.0,-0.0038,0.0,0.471,0.409,False
selectivity_tight_sweep_reclaim_prev_h4_extreme,0.0009,-0.0002,0.0003,-0.0004,2.587,1.242,True
selectivity_tight_sweep_reclaim_h4_atrx1.0,-0.0014,-0.0025,-0.002,-0.0027,0.428,0.333,False
selectivity_med_touch_entry_prev_h4_open,-0.0057,-0.0746,-0.0236,-0.0771,0.991,0.933,False
selectivity_med_touch_entry_prev_h4_extreme,0.0252,-0.0706,0.0068,-0.0823,1.07,1.018,True
selectivity_med_touch_entry_h4_atrx1.0,-0.0132,-0.083,-0.0288,-0.0929,0.975,0.934,False
selectivity_med_reaction_close_prev_h4_open,-0.0145,-0.0803,-0.0322,-0.0828,0.966,0.91,False
selectivity_med_reaction_close_prev_h4_extreme,0.0102,-0.0652,-0.0079,-0.0699,1.031,0.977,False
selectivity_med_reaction_close_h4_atrx1.0,-0.0232,-0.0878,-0.0397,-0.0988,0.937,0.893,False
selectivity_med_fib_limit_entry_lvl0.382_prev_h4_open,-0.0121,-0.0745,-0.0116,-0.0745,0.962,0.965,False
selectivity_med_fib_limit_entry_lvl0.382_prev_h4_extreme,0.0071,-0.071,0.0117,-0.0664,1.029,1.046,True
selectivity_med_fib_limit_entry_lvl0.382_h4_atrx1.0,0.032,-0.0725,0.0391,-0.0658,1.112,1.142,True
selectivity_med_fib_limit_entry_lvl0.5_prev_h4_open,-0.0208,-0.0524,-0.0213,-0.0525,0.869,0.865,False
selectivity_med_fib_limit_entry_lvl0.5_prev_h4_extreme,-0.0103,-0.0399,-0.0078,-0.04,0.96,0.974,False
selectivity_med_fib_limit_entry_lvl0.5_h4_atrx1.0,0.003,-0.0392,0.0036,-0.0383,1.024,1.027,True
selectivity_med_fib_limit_entry_lvl0.618_prev_h4_open,-0.0225,-0.0333,-0.024,-0.0335,0.732,0.71,False
selectivity_med_fib_limit_entry_lvl0.618_prev_h4_extreme,-0.0385,-0.0528,-0.0426,-0.0567,0.736,0.705,False
selectivity_med_fib_limit_entry_lvl0.618_h4_atrx1.0,-0.018,-0.0557,-0.0221,-0.0597,0.891,0.862,False
selectivity_med_zone_midpoint_limit_prev_h4_open,0.051,-0.0187,0.0408,-0.0234,1.488,1.383,True
selectivity_med_zone_midpoint_limit_prev_h4_extreme,0.0784,-0.0347,0.068,-0.0437,1.398,1.341,True
selectivity_med_zone_midpoint_limit_h4_atrx1.0,0.0618,-0.0563,0.0515,-0.0652,1.277,1.227,True
selectivity_med_minor_structure_break_prev_h4_open,-0.0167,-0.0402,-0.03,-0.0425,0.927,0.864,False
