id,25k_blowup,25k_survival,25k_p50_balance,25k_passes,50k_blowup,50k_survival,50k_p50_balance,50k_passes,150k_blowup,150k_survival,150k_p50_balance,150k_passes
selectivity_tight_touch_entry_prev_h4_open,0.0,1.0,25269.79,True,0.0,1.0,50269.79,True,0.0,1.0,150269.79,True
selectivity_tight_touch_entry_prev_h4_extreme,0.0,1.0,25228.41,True,0.0,1.0,50228.41,True,0.0,1.0,150228.41,True
selectivity_tight_touch_entry_h4_atrx1.0,0.0,1.0,25208.93,True,0.0,1.0,50208.93,True,0.0,1.0,150208.93,True
selectivity_tight_reaction_close_prev_h4_open,0.0,1.0,25138.2,True,0.0,1.0,50138.2,True,0.0,1.0,150138.2,True
selectivity_tight_reaction_close_prev_h4_extreme,0.0,1.0,25100.5,True,0.0,1.0,50100.5,True,0.0,1.0,150100.5,True
selectivity_tight_reaction_close_h4_atrx1.0,0.0,1.0,24979.02,False,0.0,1.0,49979.02,False,0.0,1.0,149979.02,False
selectivity_tight_fib_limit_entry_lvl0.382_prev_h4_open,0.0,1.0,25055.7,True,0.0,1.0,50055.7,True,0.0,1.0,150055.7,True
selectivity_tight_fib_limit_entry_lvl0.382_prev_h4_extreme,0.0,1.0,25023.16,True,0.0,1.0,50023.16,True,0.0,1.0,150023.16,True
selectivity_tight_fib_limit_entry_lvl0.382_h4_atrx1.0,0.0,1.0,25097.87,True,0.0,1.0,50097.87,True,0.0,1.0,150097.87,True
selectivity_tight_fib_limit_entry_lvl0.5_prev_h4_open,0.0,1.0,24975.66,False,0.0,1.0,49975.66,False,0.0,1.0,149975.66,False
selectivity_tight_fib_limit_entry_lvl0.5_prev_h4_extreme,0.0,1.0,24941.11,False,0.0,1.0,49941.11,False,0.0,1.0,149941.11,False
selectivity_tight_fib_limit_entry_lvl0.5_h4_atrx1.0,0.0,1.0,24981.38,False,0.0,1.0,49981.38,False,0.0,1.0,149981.38,False
selectivity_tight_fib_limit_entry_lvl0.618_prev_h4_open,0.0,1.0,24933.12,False,0.0,1.0,49933.12,False,0.0,1.0,149933.12,False
selectivity_tight_fib_limit_entry_lvl0.618_prev_h4_extreme,0.0,1.0,24892.1,False,0.0,1.0,49892.1,False,0.0,1.0,149892.1,False
selectivity_tight_fib_limit_entry_lvl0.618_h4_atrx1.0,0.0,1.0,24905.77,False,0.0,1.0,49905.77,False,0.0,1.0,149905.77,False
selectivity_tight_zone_midpoint_limit_prev_h4_open,0.0,1.0,25190.14,True,0.0,1.0,50190.14,True,0.0,1.0,150190.14,True
selectivity_tight_zone_midpoint_limit_prev_h4_extreme,0.0,1.0,25160.01,True,0.0,1.0,50160.01,True,0.0,1.0,150160.01,True
selectivity_tight_zone_midpoint_limit_h4_atrx1.0,0.0,1.0,25121.57,True,0.0,1.0,50121.57,True,0.0,1.0,150121.57,True
selectivity_tight_minor_structure_break_prev_h4_open,0.0,1.0,24959.38,False,0.0,1.0,49959.38,False,0.0,1.0,149959.38,False
selectivity_tight_minor_structure_break_prev_h4_extreme,0.0,1.0,24952.09,False,0.0,1.0,49952.09,False,0.0,1.0,149952.09,False
selectivity_tight_minor_structure_break_h4_atrx1.0,0.0,1.0,24827.22,False,0.0,1.0,49827.22,False,0.0,1.0,149827.22,False
selectivity_tight_delayed_entry_1_prev_h4_open,0.0,1.0,25348.08,True,0.0,1.0,50348.08,True,0.0,1.0,150348.08,True
selectivity_tight_delayed_entry_1_prev_h4_extreme,0.0,1.0,25310.55,True,0.0,1.0,50310.55,True,0.0,1.0,150310.55,True
selectivity_tight_delayed_entry_1_h4_atrx1.0,0.0,1.0,25261.23,True,0.0,1.0,50261.23,True,0.0,1.0,150261.23,True
selectivity_tight_delayed_entry_2_prev_h4_open,0.0,1.0,25212.34,True,0.0,1.0,50212.34,True,0.0,1.0,150212.34,True
selectivity_tight_delayed_entry_2_prev_h4_extreme,0.0,1.0,25166.7,True,0.0,1.0,50166.7,True,0.0,1.0,150166.7,True
selectivity_tight_delayed_entry_2_h4_atrx1.0,0.0,1.0,25104.0,True,0.0,1.0,50104.0,True,0.0,1.0,150104.0,True
