id,shuffle_p_value,shuffle_passes,shuffle_real_sharpe,shuffle_p95_sharpe,random_p_value,random_passes,random_real_sharpe,random_p95_sharpe,fdr_significant
selectivity_tight_touch_entry_prev_h4_open,0.57,False,5.924,5.924,0.15,False,5.924,8.348,False
selectivity_tight_touch_entry_prev_h4_extreme,0.578,False,4.951,4.951,0.215,False,4.951,8.348,False
selectivity_tight_touch_entry_h4_atrx1.0,0.728,False,4.162,4.162,0.255,False,4.162,8.348,False
selectivity_tight_reaction_close_prev_h4_open,0.866,False,3.372,3.372,0.27,False,3.372,8.348,False
selectivity_tight_reaction_close_prev_h4_extreme,0.51,False,2.502,2.502,0.315,False,2.502,8.348,False
selectivity_tight_reaction_close_h4_atrx1.0,0.248,False,0.004,0.004,0.545,False,0.004,8.348,False
selectivity_tight_fib_limit_entry_lvl0.382_prev_h4_open,0.826,False,0.884,0.884,0.475,False,0.884,11.167,False
selectivity_tight_fib_limit_entry_lvl0.382_prev_h4_extreme,0.41,False,0.025,0.025,0.505,False,0.025,11.167,False
selectivity_tight_fib_limit_entry_lvl0.382_h4_atrx1.0,0.688,False,2.266,2.266,0.38,False,2.266,11.167,False
selectivity_tight_fib_limit_entry_lvl0.5_prev_h4_open,0.05,False,-2.299,-2.299,0.58,False,-2.299,12.916,False
selectivity_tight_fib_limit_entry_lvl0.5_prev_h4_extreme,0.452,False,-3.665,-3.665,0.655,False,-3.665,12.916,False
selectivity_tight_fib_limit_entry_lvl0.5_h4_atrx1.0,0.35,False,-2.004,-2.004,0.575,False,-2.004,12.916,False
selectivity_tight_fib_limit_entry_lvl0.618_prev_h4_open,0.99,False,-7.188,-7.188,0.745,False,-7.188,15.247,False
selectivity_tight_fib_limit_entry_lvl0.618_prev_h4_extreme,1.0,False,-9.942,-9.942,0.8,False,-9.942,15.247,False
selectivity_tight_fib_limit_entry_lvl0.618_h4_atrx1.0,0.78,False,-7.077,-7.077,0.74,False,-7.077,15.247,False
selectivity_tight_zone_midpoint_limit_prev_h4_open,0.26,False,8.692,8.692,0.19,False,8.692,13.592,False
