setup_id,timestamp,session_date,symbol,direction,htf_bias,htf_bias_reason,dxy_state,expansion_direction,expansion_quality,expansion_start,expansion_end,expansion_high,expansion_low,expansion_mid,sweep_detected,swept_level,rebalance_detected,rebalance_midpoint,msb_detected,msb_break_level,entry_mode,entry_price,stop_price,target_price,order_placed,order_filled,skipped_reason
2024-01-02_0,2024-01-02T00:33:00+00:00,2024-01-02,XAUUSD,0,1,h1_green,dxy_unavailable,-1,79.4,,,2066.58,2064.99,2065.785,True,2063.24,False,,False,,LIMIT_50_RETRACE,,,,False,False,msb_outside_execution_window
2024-01-03_0,2024-01-03T00:36:00+00:00,2024-01-03,XAUUSD,0,1,h1_green,no_dxy_check,1,81.3,,,2060.71,2059.2645,2059.98725,False,,True,2059.98725,False,,LIMIT_50_RETRACE,,,,False,False,bias_against_msb_direction
2024-01-05_1,2024-01-04T23:53:00+00:00,2024-01-05,XAUUSD,1,1,h1_green,dxy_unavailable,1,75.9,,,2043.88,2042.8885,2043.38425,True,2043.1385,True,2043.38425,True,2044.1950000000002,LIMIT_50_RETRACE,2043.6625,2043.015,2044.6337499999995,True,False,
2024-01-08_0,2024-01-07T23:01:00+00:00,2024-01-08,XAUUSD,0,1,h1_green,no_dxy_check,1,82.3,,,2046.2649999999999,2044.055,2045.1599999999999,False,,True,2045.1599999999999,False,,LIMIT_50_RETRACE,,,,False,False,bias_against_msb_direction
2024-01-09_0,2024-01-08T23:26:00+00:00,2024-01-09,XAUUSD,0,1,h1_green,False,1,66.5,,,2028.5615,2027.685,2028.12325,False,,True,2028.12325,False,,LIMIT_50_RETRACE,,,,False,False,msb_timeout
2024-01-10_0,2024-01-09T23:38:00+00:00,2024-01-10,XAUUSD,0,1,h1_green,no_dxy_check,-1,86.3,,,2031.295,2028.9585000000002,2030.1267500000001,True,2030.4115000000002,False,2030.1267500000001,False,,LIMIT_50_RETRACE,,,,False,False,bias_against_msb_direction
2024-01-12_0,2024-01-11T23:21:00+00:00,2024-01-12,XAUUSD,0,1,h1_green,False,1,71.5,,,2029.0235,2027.9425,2028.4830000000002,False,,True,2028.4830000000002,False,,LIMIT_50_RETRACE,,,,False,False,msb_timeout
2024-01-15_1,2024-01-14T23:39:00+00:00,2024-01-15,XAUUSD,1,1,h1_green,dxy_unavailable,-1,83.0,,,2048.2405,2047.0135,2047.627,True,2046.9365,False,2047.627,True,2048.1035,LIMIT_50_RETRACE,2047.7642500000002,2047.325,2048.4231250000003,True,False,
2024-01-16_0,2024-01-15T23:26:00+00:00,2024-01-16,XAUUSD,0,1,h1_green,no_dxy_check,-1,80.0,,,2055.6835,2054.4799999999996,2055.08175,True,2054.9735,False,2055.08175,False,,LIMIT_50_RETRACE,,,,False,False,bias_against_msb_direction
2024-01-17_1,2024-01-16T23:46:00+00:00,2024-01-17,XAUUSD,1,1,h1_green,dxy_unavailable,-1,84.7,,,2028.6015000000002,2026.2245,2027.413,False,,True,2027.413,True,2027.38,LIMIT_50_RETRACE,2026.81,2026.14,2027.8149999999996,True,False,
