risk_per_trade,reward_risk_ratio,min_confluence_score,swing_lookback,daily_loss_gate,trades,win_rate,profit_factor,pnl,status,mc_pass_rate,max_dd
200,2.5,4,3,700,30,46.67,1.52,2690.22,failed_time,0.535,2276.87
300,2.5,4,3,700,30,46.67,1.52,2690.22,failed_time,0.535,2276.87
400,2.5,4,3,700,30,46.67,1.52,2690.22,failed_time,0.535,2276.87
200,2.5,4,3,500,30,46.67,1.52,2690.22,failed_time,0.515,2276.87
300,2.5,4,3,500,30,46.67,1.52,2690.22,failed_time,0.515,2276.87
400,2.5,4,3,500,30,46.67,1.52,2690.22,failed_time,0.515,2276.87
200,2.0,4,3,700,30,46.67,1.37,1917.89,failed_time,0.411,2276.87
300,2.0,4,3,700,30,46.67,1.37,1917.89,failed_time,0.411,2276.87
400,2.0,4,3,700,30,46.67,1.37,1917.89,failed_time,0.411,2276.87
200,2.0,4,3,500,30,46.67,1.37,1917.89,failed_time,0.384,2276.87
300,2.0,4,3,500,30,46.67,1.37,1917.89,failed_time,0.384,2276.87
400,2.0,4,3,500,30,46.67,1.37,1917.89,failed_time,0.384,2276.87
200,1.5,4,3,700,30,46.67,1.08,428.57,failed_time,0.197,2276.87
300,1.5,4,3,700,30,46.67,1.08,428.57,failed_time,0.197,2276.87
400,1.5,4,3,700,30,46.67,1.08,428.57,failed_time,0.197,2276.87
200,1.5,4,3,500,30,46.67,1.08,428.57,failed_time,0.178,2276.87
300,1.5,4,3,500,30,46.67,1.08,428.57,failed_time,0.178,2276.87
400,1.5,4,3,500,30,46.67,1.08,428.57,failed_time,0.178,2276.87
200,2.5,3,3,700,17,35.29,0.98,-85.71,failed_drawdown,0.165,1801.76
300,2.5,3,3,700,17,35.29,0.98,-85.71,failed_drawdown,0.165,1801.76
400,2.5,3,3,700,17,35.29,0.98,-85.71,failed_drawdown,0.165,1801.76
200,2.5,3,3,500,15,33.33,0.93,-227.38,failed_drawdown,0.144,1958.55
300,2.5,3,3,500,15,33.33,0.93,-227.38,failed_drawdown,0.144,1958.55
400,2.5,3,3,500,15,33.33,0.93,-227.38,failed_drawdown,0.144,1958.55
200,2.0,3,3,700,17,35.29,0.85,-523.42,failed_drawdown,0.068,1801.76
300,2.0,3,3,700,17,35.29,0.85,-523.42,failed_drawdown,0.068,1801.76
400,2.0,3,3,700,17,35.29,0.85,-523.42,failed_drawdown,0.068,1801.76
200,2.5,3,5,500,12,33.33,0.8,-515.9,failed_drawdown,0.061,1920.86
300,2.5,3,5,500,12,33.33,0.8,-515.9,failed_drawdown,0.061,1920.86
400,2.5,3,5,500,12,33.33,0.8,-515.9,failed_drawdown,0.061,1920.86
200,2.5,3,5,700,12,33.33,0.8,-515.9,failed_drawdown,0.058,1920.86
300,2.5,3,5,700,12,33.33,0.8,-515.9,failed_drawdown,0.058,1920.86
400,2.5,3,5,700,12,33.33,0.8,-515.9,failed_drawdown,0.058,1920.86
200,2.0,3,3,500,15,33.33,0.79,-665.09,failed_drawdown,0.049,1958.55
300,2.0,3,3,500,15,33.33,0.79,-665.09,failed_drawdown,0.049,1958.55
400,2.0,3,3,500,15,33.33,0.79,-665.09,failed_drawdown,0.049,1958.55
200,2.0,3,5,700,12,33.33,0.74,-659.75,failed_drawdown,0.046,1920.86
300,2.0,3,5,700,12,33.33,0.74,-659.75,failed_drawdown,0.046,1920.86
400,2.0,3,5,700,12,33.33,0.74,-659.75,failed_drawdown,0.046,1920.86
200,2.0,3,5,500,12,33.33,0.74,-659.75,failed_drawdown,0.038,1920.86
300,2.0,3,5,500,12,33.33,0.74,-659.75,failed_drawdown,0.038,1920.86
400,2.0,3,5,500,12,33.33,0.74,-659.75,failed_drawdown,0.038,1920.86
200,2.0,4,5,700,12,33.33,0.69,-806.62,failed_drawdown,0.019,1926.83
200,2.5,4,5,700,12,33.33,0.69,-806.62,failed_drawdown,0.019,1926.83
300,2.0,4,5,700,12,33.33,0.69,-806.62,failed_drawdown,0.019,1926.83
300,2.5,4,5,700,12,33.33,0.69,-806.62,failed_drawdown,0.019,1926.83
400,2.0,4,5,700,12,33.33,0.69,-806.62,failed_drawdown,0.019,1926.83
400,2.5,4,5,700,12,33.33,0.69,-806.62,failed_drawdown,0.019,1926.83
