strategy_id,account,firm,drawdown_type,risk_model,daily_rules,pass_probability,blowup_probability,timeout_probability,consistency_breach_rate,median_days_to_pass,median_end_balance,first_payout_probability,blowup_before_payout_probability,median_days_to_payout,prop_score,cert_ok,cert_fails,main_failure_reason
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,micro_1,stop_w1,0.98,0.0,0.02,0.0816,22.0,53306.98,0.99,0.01,8.0,1.451,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_50,stop_w1,0.98,0.0,0.02,0.0714,21.5,53333.09,0.98,0.02,8.0,1.449,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,pct_dd_buffer_2pct,stop_w1,0.97,0.01,0.02,0.0722,22.0,53266.36,0.98,0.02,8.0,1.432,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_100,stop_w1,0.97,0.01,0.02,0.0825,20.0,53260.73,0.98,0.02,9.0,1.429,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,pct_dd_buffer_2pct,none,0.95,0.02,0.03,0.0,21.0,53246.96,0.96,0.03,8.5,1.416,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_50,none,0.93,0.01,0.06,0.0,20.0,53194.17,0.98,0.01,9.0,1.413,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_100,none,0.93,0.01,0.06,0.0108,21.0,53210.14,0.96,0.04,8.0,1.4,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,micro_1,none,0.91,0.03,0.06,0.011,20.0,53220.13,0.98,0.01,9.0,1.376,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,none,0.87,0.0,0.13,0.0345,20.0,53174.4,1.0,0.0,8.0,1.361,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,none,0.86,0.0,0.14,0.0465,20.0,53188.95,0.99,0.0,8.0,1.343,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,none,0.86,0.0,0.14,0.0698,20.0,53188.98,0.99,0.0,8.0,1.337,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,none,0.85,0.0,0.15,0.0471,20.0,53220.33,0.99,0.0,8.0,1.333,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,dollar_risk_50,stop_w1,0.92,0.07,0.01,0.0761,21.0,53251.42,0.93,0.07,8.0,1.315,True,,trailing_dd_eod
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,dollar_risk_100,stop_w1,0.92,0.07,0.01,0.0761,19.0,53216.98,0.93,0.07,9.0,1.315,True,,trailing_dd_eod
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,micro_1,stop_w1,0.92,0.07,0.01,0.087,21.0,53252.56,0.93,0.07,8.0,1.312,True,,trailing_dd_eod
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,pct_dd_buffer_2pct,stop_w1,0.92,0.07,0.01,0.0978,20.0,53211.28,0.93,0.07,8.0,1.309,True,,trailing_dd_eod
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_100,max2,0.8,0.06,0.14,0.0125,27.0,53188.3,0.91,0.05,11.0,1.21,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,micro_1,max2,0.81,0.09,0.1,0.0247,29.0,53168.7,0.92,0.06,11.0,1.201,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_50,max2,0.8,0.08,0.12,0.025,28.0,53184.64,0.92,0.06,12.5,1.198,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,pct_dd_buffer_2pct,max2,0.78,0.06,0.16,0.0128,25.5,53151.8,0.92,0.06,12.5,1.195,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,max2,0.67,0.0,0.33,0.0746,22.0,53107.58,0.94,0.0,8.0,1.125,True,,none
vwap_mean_reversion_M15_filters[0].max_z=2.5,generic_static_50k,Generic,static,dollar_risk_50,stop_w1,0.71,0.07,0.22,0.0141,30.0,53090.2,0.91,0.07,10.0,1.113,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,max2,0.64,0.0,0.36,0.0781,20.0,53090.98,0.94,0.0,8.0,1.095,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,max2,0.63,0.0,0.37,0.0476,20.0,53088.94,0.94,0.0,8.0,1.091,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,max2,0.63,0.0,0.37,0.0635,20.0,53109.47,0.94,0.0,8.0,1.088,True,,none
vwap_mean_reversion_M15_filters[0].max_z=3.0,generic_static_50k,Generic,static,dollar_risk_50,stop_w1,0.67,0.1,0.23,0.0299,28.0,53058.76,0.95,0.02,13.0,1.069,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,dp500_dl300,0.61,0.0,0.39,0.0984,22.0,53036.64,0.91,0.0,9.0,1.047,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,stop_l2,0.6,0.0,0.4,0.0167,22.5,53062.09,0.89,0.0,8.0,1.042,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_100,stop_l2,0.68,0.11,0.21,0.0147,22.5,53070.51,0.88,0.12,10.0,1.04,True,,max_loss_static
vwap_mean_reversion_M15_filters[0].max_z=3.0,generic_static_50k,Generic,static,pct_dd_buffer_2pct,stop_w1,0.64,0.12,0.24,0.0156,27.0,53080.64,0.95,0.02,13.0,1.028,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,dp500_dl300,0.58,0.0,0.42,0.1034,24.0,53068.87,0.91,0.0,9.0,1.017,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,dp500_dl300,0.56,0.0,0.44,0.0714,24.0,53089.31,0.91,0.0,10.0,1.003,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_50,stop_l2,0.65,0.12,0.23,0.0154,24.0,53134.26,0.86,0.11,11.0,0.993,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,pct_dd_buffer_2pct,stop_l2,0.66,0.14,0.2,0.0152,24.0,53089.35,0.86,0.11,9.0,0.989,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,stop_l2,0.55,0.0,0.45,0.0545,25.0,53089.78,0.89,0.0,8.0,0.986,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,stop_l2,0.54,0.0,0.46,0.0556,23.5,53075.85,0.9,0.0,8.0,0.981,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,dp500_dl300,0.54,0.0,0.46,0.1111,24.0,53091.05,0.91,0.0,10.0,0.977,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,stop_l2,0.53,0.0,0.47,0.0377,25.0,53070.42,0.89,0.0,8.0,0.969,True,,none
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_50,ny_only_max2,0.59,0.08,0.33,0.0339,27.0,53089.61,0.88,0.08,12.0,0.968,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_100,ny_only_max2,0.6,0.1,0.3,0.0167,27.0,53140.76,0.88,0.07,13.0,0.967,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,pct_dd_buffer_2pct,ny_only_max2,0.6,0.12,0.28,0.0167,27.0,53109.72,0.88,0.08,12.0,0.953,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,micro_1,stop_l2,0.63,0.15,0.22,0.0159,23.0,53122.27,0.85,0.11,11.0,0.947,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,micro_1,ny_only_max2,0.58,0.1,0.32,0.0345,26.0,53105.75,0.88,0.08,12.0,0.944,True,,max_loss_static
vwap_mean_reversion_M15_filters[0].max_z=2.5,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,stop_w1,0.55,0.09,0.36,0.0545,27.0,53018.94,0.91,0.04,11.0,0.933,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=3.0,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,stop_w1,0.55,0.09,0.36,0.1273,22.0,53022.28,0.92,0.05,12.0,0.926,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=3.0,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,stop_w1,0.55,0.09,0.36,0.1273,22.0,53020.99,0.92,0.05,12.0,0.926,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=3.0,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,stop_w1,0.55,0.09,0.36,0.1455,23.0,53038.82,0.92,0.05,12.5,0.923,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.5,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,stop_w1,0.54,0.09,0.37,0.0556,27.0,53020.14,0.91,0.04,11.0,0.923,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.5,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,stop_w1,0.54,0.09,0.37,0.0741,27.0,53046.26,0.91,0.04,10.0,0.92,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=3.0,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,stop_w1,0.55,0.09,0.36,0.1455,27.0,53039.42,0.91,0.05,13.0,0.918,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.5,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,stop_w1,0.54,0.09,0.37,0.0741,28.5,53028.59,0.9,0.04,10.0,0.915,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,stop_w1,0.44,0.12,0.44,0.1364,25.5,52294.0,0.95,0.05,11.0,0.813,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,stop_w1,0.44,0.12,0.44,0.1364,23.0,52351.18,0.95,0.05,11.0,0.813,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,stop_w1,0.44,0.12,0.44,0.1364,25.5,52226.0,0.95,0.05,11.0,0.813,True,,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,dp500_dl300,0.36,0.0,0.64,0.0556,26.5,51657.11,0.83,0.0,10.0,0.769,True,,none
vwap_mean_reversion_M15_filters[0].max_z=2.0,generic_static_50k,Generic,static,dollar_risk_100,ny_only_max2,0.36,0.14,0.5,0.0833,29.0,51314.4,0.8,0.08,17.0,0.653,True,,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,stop_w1,0.91,0.0,0.09,0.1978,21.0,53252.56,1.0,0.0,8.0,1.356,False,consistency_breach=19.78% > 15%,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,stop_w1,0.91,0.0,0.09,0.1978,21.0,53273.0,0.99,0.0,8.0,1.351,False,consistency_breach=19.78% > 15%,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,stop_w1,0.9,0.0,0.1,0.1889,18.0,53185.9,1.0,0.0,7.5,1.349,False,consistency_breach=18.89% > 15%,none
