entry_time,exit_time,dir,entry,exit,cost,pnl,ret,strategy
2026-01-30 04:00:00+00:00,2026-01-30 07:45:00+00:00,-1,5301.0,5184.92,0.116,115.96399999999993,0.02187587247689114,m15_open
2026-01-30 08:00:00+00:00,2026-01-30 11:45:00+00:00,-1,5185.2,5013.67,0.11800000000000001,171.41199999999975,0.03305793412018818,m15_open
2026-01-30 12:00:00+00:00,2026-01-30 15:45:00+00:00,-1,5012.69,5019.29,0.11900000000000001,-6.719000000000364,-0.0013403980696991764,m15_open
2026-01-30 16:00:00+00:00,2026-01-30 19:45:00+00:00,1,5019.31,4849.38,0.108,-170.0380000000003,-0.033876767922284196,m15_open
2026-01-30 20:00:00+00:00,2026-01-30 23:45:00+00:00,-1,4849.41,4890.34,0.281,-41.21100000000029,-0.008498147197287977,m15_open
2026-02-02 01:00:00+00:00,2026-02-02 03:45:00+00:00,1,4805.03,4737.5,0.265,-67.79499999999975,-0.01410917309569342,m15_open
2026-02-02 04:00:00+00:00,2026-02-02 07:45:00+00:00,-1,4737.25,4549.2,0.098,187.95200000000017,0.039675339068024736,m15_open
2026-02-02 08:00:00+00:00,2026-02-02 11:45:00+00:00,-1,4548.94,4719.68,0.11800000000000001,-170.8580000000007,-0.037559959023421,m15_open
2026-02-02 12:00:00+00:00,2026-02-02 15:45:00+00:00,1,4719.61,4705.96,0.11900000000000001,-13.768999999999636,-0.002917402073476333,m15_open
2026-02-02 16:00:00+00:00,2026-02-02 19:45:00+00:00,-1,4706.06,4673.86,0.101,32.09900000000073,0.006820780015554567,m15_open
2026-02-02 20:00:00+00:00,2026-02-02 23:45:00+00:00,-1,4673.92,4660.72,0.117,13.082999999999817,0.0027991493221963186,m15_open
2026-02-03 01:00:00+00:00,2026-02-03 03:45:00+00:00,-1,4668.26,4841.27,0.11900000000000001,-173.12900000000022,-0.03708640906890366,m15_open
2026-02-03 04:00:00+00:00,2026-02-03 07:45:00+00:00,1,4840.91,4824.91,0.117,-16.117,-0.003329332708106534,m15_open
2026-02-03 08:00:00+00:00,2026-02-03 11:45:00+00:00,-1,4824.95,4916.0,0.10300000000000001,-91.15300000000018,-0.018892009243619143,m15_open
2026-02-03 12:00:00+00:00,2026-02-03 15:45:00+00:00,1,4916.08,4932.6,0.095,16.425000000000438,0.003341076630160705,m15_open
2026-02-03 16:00:00+00:00,2026-02-03 19:45:00+00:00,1,4932.63,4929.0,0.095,-3.7250000000001093,-0.0007551752310633697,m15_open
2026-02-03 20:00:00+00:00,2026-02-03 23:45:00+00:00,-1,4928.98,4946.89,0.114,-18.024000000000765,-0.0036567403397864805,m15_open
2026-02-04 01:00:00+00:00,2026-02-04 03:45:00+00:00,1,4947.11,5046.61,0.11900000000000001,99.381,0.020088698250089448,m15_open
2026-02-04 04:00:00+00:00,2026-02-04 07:45:00+00:00,1,5046.58,5079.3,0.106,32.61400000000025,0.006462594469918292,m15_open
2026-02-04 08:00:00+00:00,2026-02-04 11:45:00+00:00,1,5079.34,5059.88,0.10300000000000001,-19.563000000000038,-0.003851484641705426,m15_open
2026-02-04 12:00:00+00:00,2026-02-04 15:45:00+00:00,-1,5060.03,5053.8,0.095,6.134999999999564,0.001212443404485658,m15_open
2026-02-04 16:00:00+00:00,2026-02-04 19:45:00+00:00,-1,5054.09,4897.88,0.093,156.11700000000005,0.030889240199521585,m15_open
2026-02-04 20:00:00+00:00,2026-02-04 23:45:00+00:00,-1,4897.76,4964.75,0.1,-67.08999999999978,-0.013698098722681342,m15_open
2026-02-05 01:00:00+00:00,2026-02-05 03:45:00+00:00,1,4977.44,4958.49,0.10200000000000001,-19.05199999999982,-0.0038276704490661506,m15_open
2026-02-05 04:00:00+00:00,2026-02-05 07:45:00+00:00,-1,4958.52,4896.08,0.101,62.33900000000051,0.012572098126053843,m15_open
2026-02-05 08:00:00+00:00,2026-02-05 11:45:00+00:00,-1,4896.06,4855.05,0.099,40.91100000000022,0.008355902501194883,m15_open
2026-02-05 12:00:00+00:00,2026-02-05 15:45:00+00:00,-1,4855.02,4835.22,0.096,19.704000000000182,0.0040584796767057976,m15_open
2026-02-05 16:00:00+00:00,2026-02-05 19:45:00+00:00,-1,4835.26,4868.94,0.095,-33.77499999999938,-0.006985146610523401,m15_open
2026-02-05 20:00:00+00:00,2026-02-05 23:45:00+00:00,1,4868.7,4779.55,0.099,-89.24899999999964,-0.018331176700145755,m15_open
2026-02-06 01:00:00+00:00,2026-02-06 03:45:00+00:00,-1,4790.02,4774.26,0.101,15.659000000000217,0.003269088646811541,m15_open
2026-02-06 04:00:00+00:00,2026-02-06 07:45:00+00:00,-1,4774.06,4897.51,0.1,-123.54999999999981,-0.0258794401410958,m15_open
2026-02-06 08:00:00+00:00,2026-02-06 11:45:00+00:00,1,4897.48,4866.59,0.079,-30.96899999999942,-0.006323456144792714,m15_open
2026-02-06 12:00:00+00:00,2026-02-06 15:45:00+00:00,-1,4866.69,4928.73,0.077,-62.11699999999996,-0.012763705927437327,m15_open
2026-02-06 16:00:00+00:00,2026-02-06 19:45:00+00:00,1,4929.22,4960.22,0.095,30.905,0.006269754646779815,m15_open
2026-02-06 20:00:00+00:00,2026-02-06 23:45:00+00:00,1,4960.23,4967.36,0.221,6.909000000000109,0.0013928789592418315,m15_open
2026-02-09 01:00:00+00:00,2026-02-09 03:45:00+00:00,1,4980.52,4982.25,0.184,1.5459999999995635,0.00031040935484639423,m15_open
2026-02-09 04:00:00+00:00,2026-02-09 07:45:00+00:00,1,4982.26,5036.5,0.099,54.140999999999785,0.010866755247618508,m15_open
2026-02-09 08:00:00+00:00,2026-02-09 11:45:00+00:00,1,5035.98,5007.57,0.098,-28.507999999999853,-0.005660864419636268,m15_open
2026-02-09 12:00:00+00:00,2026-02-09 15:45:00+00:00,-1,5007.68,5006.9,0.094,0.6860000000006549,0.00013698958399910834,m15_open
2026-02-09 16:00:00+00:00,2026-02-09 19:45:00+00:00,-1,5006.86,5046.3,0.096,-39.536000000000506,-0.007896366185593468,m15_open
2026-02-09 20:00:00+00:00,2026-02-09 23:45:00+00:00,1,5046.17,5058.41,0.097,12.142999999999782,0.002406379491772925,m15_open
2026-02-10 01:00:00+00:00,2026-02-10 03:45:00+00:00,1,5059.97,5032.76,0.098,-27.308000000000035,-0.005396869941916659,m15_open
2026-02-10 04:00:00+00:00,2026-02-10 07:45:00+00:00,-1,5032.74,5039.08,0.098,-6.438000000000145,-0.0012792236435818552,m15_open
2026-02-10 08:00:00+00:00,2026-02-10 11:45:00+00:00,1,5039.0,5046.79,0.096,7.6939999999999635,0.001526890256003168,m15_open
2026-02-10 12:00:00+00:00,2026-02-10 15:45:00+00:00,1,5046.81,5050.86,0.095,3.954999999999272,0.0007836633437754288,m15_open
2026-02-10 16:00:00+00:00,2026-02-10 19:45:00+00:00,1,5050.9,5026.17,0.095,-24.824999999999562,-0.004914965649686108,m15_open
2026-02-10 20:00:00+00:00,2026-02-10 23:45:00+00:00,-1,5026.19,5025.21,0.096,0.8839999999995635,0.00017587874712248513,m15_open
2026-02-11 01:00:00+00:00,2026-02-11 03:45:00+00:00,-1,5026.24,5052.5,0.1,-26.36000000000022,-0.005244476984783898,m15_open
2026-02-11 04:00:00+00:00,2026-02-11 07:45:00+00:00,1,5052.49,5052.75,0.098,0.16200000000021827,3.2063398443187076e-05,m15_open
2026-02-11 08:00:00+00:00,2026-02-11 11:45:00+00:00,1,5052.76,5062.6,0.098,9.742000000000145,0.0019280551619313294,m15_open
2026-02-11 12:00:00+00:00,2026-02-11 15:45:00+00:00,1,5062.68,5065.64,0.094,2.8660000000000365,0.0005661033286717778,m15_open
2026-02-11 16:00:00+00:00,2026-02-11 19:45:00+00:00,1,5065.71,5091.53,0.092,25.72799999999971,0.005078853704613906,m15_open
2026-02-11 20:00:00+00:00,2026-02-11 23:45:00+00:00,1,5091.38,5084.25,0.094,-7.2240000000001094,-0.0014188687546402173,m15_open
2026-02-12 01:00:00+00:00,2026-02-12 03:45:00+00:00,-1,5085.08,5063.45,0.095,21.53500000000011,0.004234938290056422,m15_open
2026-02-12 04:00:00+00:00,2026-02-12 07:45:00+00:00,-1,5063.6,5075.46,0.094,-11.953999999999672,-0.0023607709929693637,m15_open
2026-02-12 08:00:00+00:00,2026-02-12 11:45:00+00:00,1,5075.48,5073.12,0.094,-2.4539999999996724,-0.0004835010678792297,m15_open
2026-02-12 12:00:00+00:00,2026-02-12 15:45:00+00:00,-1,5073.11,5075.26,0.09,-2.2400000000005456,-0.00044154374732669816,m15_open
2026-02-12 16:00:00+00:00,2026-02-12 19:45:00+00:00,1,5075.25,4940.82,0.091,-134.5210000000003,-0.026505295305650028,m15_open
2026-02-12 20:00:00+00:00,2026-02-12 23:45:00+00:00,-1,4940.72,4921.49,0.093,19.137000000000473,0.0038733221068994947,m15_open
2026-02-13 01:00:00+00:00,2026-02-13 03:45:00+00:00,-1,4923.54,4980.66,0.099,-57.21899999999989,-0.011621516226129957,m15_open
2026-02-13 04:00:00+00:00,2026-02-13 07:45:00+00:00,1,4980.63,4946.23,0.097,-34.49700000000055,-0.0069262322236344695,m15_open
2026-02-13 08:00:00+00:00,2026-02-13 11:45:00+00:00,-1,4946.32,4970.14,0.096,-23.91600000000062,-0.004835109738148891,m15_open
2026-02-13 12:00:00+00:00,2026-02-13 15:45:00+00:00,1,4970.13,4986.85,0.092,16.628000000000256,0.0033455865339538917,m15_open
2026-02-13 16:00:00+00:00,2026-02-13 19:45:00+00:00,1,4986.89,5020.87,0.09,33.88999999999956,0.006795818636464722,m15_open
2026-02-13 20:00:00+00:00,2026-02-13 23:45:00+00:00,1,5020.88,5041.88,0.157,20.843,0.004151264320198849,m15_open
2026-02-16 01:00:00+00:00,2026-02-16 03:45:00+00:00,1,5028.25,5028.81,0.191,0.3690000000004002,7.338537264463783e-05,m15_open
2026-02-16 04:00:00+00:00,2026-02-16 07:45:00+00:00,1,5028.84,4990.57,0.093,-38.36300000000044,-0.007628598245321075,m15_open
2026-02-16 08:00:00+00:00,2026-02-16 11:45:00+00:00,-1,4990.62,5013.34,0.094,-22.814000000000256,-0.004571375901190685,m15_open
