id,certified,fdr_significant,wf_folds,wf_median_sharpe,wf_pct_positive_folds,ho_trades,ho_trades_per_week,ho_total_return,ho_sharpe_ann,ho_profit_factor,ho_max_drawdown,biggest_trade_share,stress_total_return,shuffle_p_value,random_p_value,yearly_positive,yearly_total,regime_consistency,prop_25k_passes,prop_50k_passes,prop_150k_passes,prop_25k_blowup,fail_reasons,spec
selectivity_tight_delayed_entry_1_prev_h4_open,False,False,28,0.871,0.5714,52,5.93,0.0802,7.633,1.671,-0.0251,0.0784,0.0721,0.734,0.065,4,9,0.4444,True,True,True,0.0,wf_pct_positive_folds<0.6 (got 0.5714); shuffle_test failed (p=0.734); random_baseline failed (p=0.065),"{""id"": ""selectivity_tight_delayed_entry_1_prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""delayed_entry_1""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
selectivity_tight_delayed_entry_1_prev_h4_extreme,False,False,28,0.871,0.5714,52,5.93,0.0715,6.665,1.565,-0.0297,0.0765,0.0635,0.998,0.115,4,9,0.4444,True,True,True,0.0,wf_pct_positive_folds<0.6 (got 0.5714); shuffle_test failed (p=0.998); random_baseline failed (p=0.115),"{""id"": ""selectivity_tight_delayed_entry_1_prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""delayed_entry_1""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
selectivity_tight_touch_entry_prev_h4_open,False,False,28,0.871,0.5714,52,5.93,0.0603,5.924,1.453,-0.0375,0.0482,0.0524,0.57,0.15,4,9,0.4444,True,True,True,0.0,wf_pct_positive_folds<0.6 (got 0.5714); shuffle_test failed (p=0.57); random_baseline failed (p=0.15),"{""id"": ""selectivity_tight_touch_entry_prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
selectivity_tight_touch_entry_prev_h4_extreme,False,False,28,0.871,0.5714,52,5.93,0.0518,4.951,1.372,-0.0437,0.0501,0.0439,0.578,0.215,4,9,0.4444,True,True,True,0.0,wf_pct_positive_folds<0.6 (got 0.5714); shuffle_test failed (p=0.578); random_baseline failed (p=0.215),"{""id"": ""selectivity_tight_touch_entry_prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
selectivity_tight_delayed_entry_2_prev_h4_open,False,False,28,0.871,0.5714,52,5.93,0.0452,4.401,1.365,-0.0287,0.0925,0.0375,0.97,0.245,4,9,0.4444,True,True,True,0.0,wf_pct_positive_folds<0.6 (got 0.5714); shuffle_test failed (p=0.97); random_baseline failed (p=0.245),"{""id"": ""selectivity_tight_delayed_entry_2_prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""delayed_entry_2""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
selectivity_tight_zone_midpoint_limit_prev_h4_open,False,False,28,0.871,0.5714,24,2.74,0.0421,8.692,2.129,-0.0131,0.2696,0.042,0.26,0.19,4,9,0.4444,True,True,True,0.0,wf_pct_positive_folds<0.6 (got 0.5714); biggest_trade_share>0.2 (got 0.2696); shuffle_test failed (p=0.26); random_baseline failed (p=0.19),"{""id"": ""selectivity_tight_zone_midpoint_limit_prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""zone_midpoint_limit""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
selectivity_tight_delayed_entry_2_prev_h4_extreme,False,False,28,0.871,0.5714,52,5.93,0.0368,3.539,1.286,-0.0349,0.0902,0.0291,0.228,0.27,4,9,0.4444,True,True,True,0.0,wf_pct_positive_folds<0.6 (got 0.5714); shuffle_test failed (p=0.228); random_baseline failed (p=0.27),"{""id"": ""selectivity_tight_delayed_entry_2_prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""delayed_entry_2""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
selectivity_tight_zone_midpoint_limit_prev_h4_extreme,False,False,28,0.871,0.5714,24,2.74,0.0338,6.709,1.749,-0.0195,0.252,0.0336,0.14,0.26,4,9,0.4444,True,True,True,0.0,wf_pct_positive_folds<0.6 (got 0.5714); biggest_trade_share>0.2 (got 0.252); shuffle_test failed (p=0.14); random_baseline failed (p=0.26),"{""id"": ""selectivity_tight_zone_midpoint_limit_prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""zone_midpoint_limit""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
selectivity_tight_reaction_close_prev_h4_open,False,False,28,0.871,0.5714,52,5.93,0.0328,3.372,1.26,-0.0388,0.0813,0.0251,0.866,0.27,4,9,0.4444,True,True,True,0.0,wf_pct_positive_folds<0.6 (got 0.5714); shuffle_test failed (p=0.866); random_baseline failed (p=0.27),"{""id"": ""selectivity_tight_reaction_close_prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""reaction_close""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
selectivity_tight_reaction_close_prev_h4_extreme,False,False,28,0.871,0.5714,52,5.93,0.0245,2.502,1.19,-0.0424,0.0792,0.0169,0.51,0.315,4,9,0.4444,True,True,True,0.0,wf_pct_positive_folds<0.6 (got 0.5714); profit_factor<=1.2 (got 1.19); shuffle_test failed (p=0.51); random_baseline failed (p=0.315),"{""id"": ""selectivity_tight_reaction_close_prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}], ""entry"": {""type"": ""reaction_close""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
